registro_id,data_movimentacao,cidade,uf,canal,dispositivo,tipo_movimentacao,categoria,grupo_financeiro,titulo_movimentacao,valor_total,forma_pagamento,pago_por,participantes_qtd,percentual_rateio,valor_por_participante,status_rateio,status_pagamento,data_vencimento,dias_atraso,comprovante_enviado,origem_registro,saldo_participante,avaliacao_experiencia,observacao
CAF-00000,2025-02-27,Curitiba,pr,app,tablet,receita,educacao,Pessoal,Salário,3680.53,pix,Isabela,1,100,"3680,53",aberto,pago,2025-03-16,0,NÃO,api_integracao,371.32,2.0,
CAF-00001,2025-10-02,belo horizonte,MG,api,tablet,despesa_grupo,transporte,Republica Alpha,Combustível,660.51,pix,Pedro,3,33.33,220.17,fechado,pago,2025-10-16,0,SIM,importacao_bancaria,-155.78,2.6,
CAF-00002,2025-01-29,Uberaba,MG,app,mobile,pagamento_rateio,viagem,Equipe Projeto,Reserva,"2956,46",dinheiro,Carla,4,25.0,739.12,aberto,atrasado,2025-02-15,38,NÃO,recorrente,-165.6,5.0,
CAF-00003,11/10/2025,Uberaba,mg,api,tablet,despesa_grupo,mercado,Pessoal,Supermercado,393.86,transferencia,Rafaela,1,100.0,393.86,fechado,falha_pagamento,2025-10-16,0,sim,api_integracao,"410,0",3.5,
CAF-00004,2025-05-03,uberlândia,MG,app,tablet,receita,moradia,Viagem Praia,Depósito,5105.01,transferencia,Diego,7,100,729.29,aberto,falha_pagamento,2025-05-23,0,,recorrente,-454.79,"2,7",
CAF-00005,2025-04-20,Ribeirão Preto,SP,web,mobile,despesa_grupo,contas,Casa 302,Telefone,358.27,transferencia,Ana,7,14.29,51.18,fechado,pago,2025-04-21,0,SIM,manual,"-301,61",2.6,
CAF-00006,2025-05-02,Ribeirão Preto,SP,app,mobile,despesa_grupo,contas,Amigos Futebol,Telefone,"253,18",transferencia,Mateus,8,12.5,31.65,parcial,atrasado,2025-05-06,14,sim,manual,297.57,2.2,
CAF-00007,2025-05-07,Uberaba,MG,api,desktop,despesa_grupo,viagem,Equipe Projeto,Passeio,"2264,32",cartao_debito,Henrique,4,25.0,566.08,fechado,falha_pagamento,data inválida,0,,manual,-512.09,2.6,
CAF-00008,2025-10-11,Uberlândia,mg,app,mobile,receita,moradia,Pessoal,Freelance,4415.16,cartao_debito,Isabela,1,100,4415.16,parcial,estornado,2025-10-12,0,NÃO,api_integracao,-547.1,"3,0",
CAF-00009,2025-10-10,são paulo,SP,app,desktop,despesa_grupo,lazer,Familia Silva,Barzinho,666.4,dinheiro,João,7,14.29,"95,2",aberto,estornado,15/10/2025,0,nao,recorrente,-570.26,4.2,
